what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1316737336948
arch,sysinfo,,,"x86_64",1316737336948
ws,sysinfo,,,"win32",1316737336948
locale,sysinfo,,,"de_CH",1316737336948
processors,sysinfo,,,"2",1316737336948
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316737336948
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1316737336948
java.specification.name,sysinfo,,,"Java Platform API Specification",1316737336948
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316737336948
java.specification.version,sysinfo,,,"1.6",1316737336948
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1316737336948
java.version,sysinfo,,,"1.6.0_18",1316737336948
java.vm.info,sysinfo,,,"mixed mode",1316737336948
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1316737336948
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316737336948
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316737336948
java.vm.specification.version,sysinfo,,,"1.0",1316737336948
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1316737336948
java.vm.version,sysinfo,,,"16.0-b13",1316737336948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737339503
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1316737353909
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1316737353969
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1316737353971
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1316737354018
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1316737354246
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1316737354260
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737413767
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1316737413776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737415875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737419707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737426371
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737429110
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737429228
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737431264
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1316737431374
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1316737431679
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1316737431868
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1316737431869
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1316737431870
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1316737431871
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1316737431872
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1316737431873
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1316737431873
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1316737431877
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1316737431877
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1316737431878
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1316737431879
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1316737431879
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1316737431881
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1316737431882
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1316737431905
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1316737431930
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1316737431930
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1316737431931
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1316737431932
